"","tok","RF_PoStag","tree_PoStag","tok_2","f.s","tok_3","oed_check","oed_FALSE","oed_TRUE","oed_tt","oed_NNS","punct","tok.to.edit","pdf.page"
"276","moſt","FM","NN","most",NA,"most",0,NA,"most",NA,NA,NA,"most",12
"277","occaſions","FM","NNS","occasions",NA,"occasions",0,NA,"occasions",NA,NA,NA,"occasions",12
"278",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",12
"279","as","ADV","RB","as",NA,"as",0,NA,"as",NA,NA,NA,"as",12
"280","in","APPR.In","IN","in",NA,"in",0,NA,"in",NA,NA,NA,"in",12
"281","face","FM","NN","face","face","face",0,NA,"face",NA,NA,NA,"face",12
"282",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",12
"283","place","FM","NN","place",NA,"place",0,NA,"place",NA,NA,NA,"place",12
"284",";","SYM.Pun.Sent",":",";",NA,";",1,";",NA,NA,NA,";",";",12
"285","it","FM","PP","it",NA,"it",0,NA,"it",NA,NA,NA,"it",12
"286","hath","FM","VHZ","hath",NA,"hath",1,"hath",NA,NA,NA,NA,NA,12
"287","a","FM","DT","a",NA,"a",0,NA,"a",NA,NA,NA,"a",12
"288","mafculine","FM","NN","mafculine","mafculine","mafculine",1,"mafculine",NA,NA,NA,NA,NA,12
"289","ſound","FM","NN","sound",NA,"sound",0,NA,"sound",NA,NA,NA,"sound",12
"290","like","FM","IN","like",NA,"like",0,NA,"like",NA,NA,NA,"like",12
"291","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA,NA,"the",12
"292","French","N.Name.Nom.Sg.Masc","JJ","French",NA,"French",0,NA,"French",NA,NA,NA,"French",12
"293","a","FM","DT","a",NA,"a",0,NA,"a",NA,NA,NA,"a",12
"294",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",12
"295","as","ADV","RB","as",NA,"as",0,NA,"as",NA,NA,NA,"as",12
"296","in","APPR.In","IN","in",NA,"in",0,NA,"in",NA,NA,NA,"in",12
"297","tall","N.Name.Dat.Sg.Neut","JJ","tall",NA,"tall",0,NA,"tall",NA,NA,NA,"tall",12
"298",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",12
"299","fall","VIMP.Full.2.Sg","NN","fall","fall","fall",0,NA,"fall",NA,NA,NA,"fall",12
"300",";","SYM.Pun.Sent",":",";",NA,";",1,";",NA,NA,NA,";",";",12
"301","a","N.Name.*.*.*","DT","a",NA,"a",0,NA,"a",NA,NA,NA,"a",12
"302","feminine","ADJA.Pos.Nom.Pl.Fem","JJ","feminine","feminine","feminine",0,NA,"feminine",NA,NA,NA,"feminine",12
"303","or","FM","CC","or",NA,"or",0,NA,"or",NA,NA,NA,"or",12
"304","weak","FM","JJ","weak",NA,"weak",0,NA,"weak",NA,NA,NA,"weak",12
"305","found","FM","VVD","found","found","found",0,NA,"found",NA,NA,NA,"found",12
"306",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",12
"307","as","ADV","IN","as",NA,"as",0,NA,"as",NA,NA,NA,"as",12
"308","mn","VFIN.Full.3.Sg.Past.Ind","NN","mn",NA,"mn",1,"mn",NA,NA,NA,NA,NA,12
"309","man","PRO.Indef.Subst.-.Nom.Sg.*","NN","man",NA,"man",0,NA,"man",NA,NA,NA,"man",12
"310",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA,",",",",12
"311","can","VFIN.Mod.*.*.Pres.Ind","MD","can",NA,"can",0,NA,"can",NA,NA,NA,"can",12
"312",";","SYM.Pun.Sent",":",";",NA,";",1,";",NA,NA,NA,";",";",12
"313","and","CONJ.Coord.-","CC","and",NA,"and",0,NA,"and",NA,NA,NA,"and",12
