"","tok","RF_PoStag","tree_PoStag","tok_2","f.s","tok_3","oed_check","oed_FALSE","oed_TRUE","oed_tt","oed_NNS"
"83","Parts","N.Reg.Nom.Pl.Masc","NNS","Parts",NA,"Parts",0,NA,"Parts",NA,NA
"84","of","N.Name.*.*.*","IN","of","of","of",0,NA,"of",NA,NA
"85","Speech","N.Name.Nom.Sg.*","NN","Speech",NA,"Speech",0,NA,"Speech",NA,NA
"86","diſtinetly","N.Name.*.*.*","RB","distinetly",NA,"distinetly",1,"distinetly",NA,NA,"distinetly"
"87","conſidered","N.Name.*.*.*","JJ","considered",NA,"considered",0,NA,"considered",NA,NA
"88",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"89","with","N.Name.*.*.*","IN","with",NA,"with",0,NA,"with",NA,NA
"90","the","N.Name.*.*.*","DT","the",NA,"the",0,NA,"the",NA,NA
"91","Declenſion","N.Name.*.*.*","NP","Declension",NA,"Declension",0,NA,"Declension",NA,NA
"92","of","N.Name.*.*.*","IN","of","of","of",0,NA,"of",NA,NA
"93","Articles","N.Name.*.*.*","NPS","Articles",NA,"Articles",0,NA,"Articles",NA,NA
"94",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"95","]","SYM.Paren.Right","SYM","]",NA,"]",1,"]",NA,NA,NA
"96","Nouns","FM","NNS","Nouns",NA,"Nouns",0,NA,"Nouns",NA,NA
"97",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"98","Pronouns","FM","NNS","Pronouns",NA,"Pronouns",1,"Pronouns",NA,NA,"Pronouns"
"99",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"100","&","FM","CC","&",NA,"&",0,NA,"&",NA,NA
"101","c","FM","LS","c",NA,"c",0,NA,"c",NA,NA
"102",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA
"103","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA
"104","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA
"105","Conjugation","FM","NN","Conjugation",NA,"Conjugation",0,NA,"Conjugation",NA,NA
"106","of","FM","IN","of","of","of",0,NA,"of",NA,NA
"107","Verbs","N.Reg.Gen.Sg.Neut","NNS","Verbs",NA,"Verbs",1,"Verbs",NA,NA,"Verbs"
"108",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"109","both","FM","CC","both",NA,"both",0,NA,"both",NA,NA
"110","regular","FM","JJ","regular",NA,"regular",0,NA,"regular",NA,NA
"111","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA
"112","irregular","FM","JJ","irregular",NA,"irregular",0,NA,"irregular",NA,NA
"113",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"114","at","FM","IN","at",NA,"at",0,NA,"at",NA,NA
"115","full","FM","JJ","full","full","full",0,NA,"full",NA,NA
"116","length","FM","NN","length",NA,"length",0,NA,"length",NA,NA
"117",";","SYM.Pun.Sent",":",";",NA,";",1,";",NA,NA,NA
"118","by","FM","IN","by",NA,"by",0,NA,"by",NA,NA
"119","which","ADJD.Pos","WDT","which",NA,"which",0,NA,"which",NA,NA
"120","means","FM","VVZ","means",NA,"means",0,NA,"means",NA,NA
"121",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"122","any","FM","DT","any",NA,"any",0,NA,"any",NA,NA
"123","one","FM","CD","one",NA,"one",0,NA,"one",NA,NA
"124","may","FM","MD","may",NA,"may",0,NA,"may",NA,NA
"125","learn","FM","VV","learn",NA,"learn",0,NA,"learn",NA,NA
"126","ENcLisn","FM","NP","ENcLisn",NA,"ENcLisn",1,"ENcLisn",NA,NA,NA
"127","grammatically","FM","RB","grammatically",NA,"grammatically",0,NA,"grammatically",NA,NA
"128",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"129","in","APPR.In","IN","in",NA,"in",0,NA,"in",NA,NA
"130","the","FM","DT","the",NA,"the",0,NA,"the",NA,NA
"131","ſame","FM","JJ","same",NA,"same",0,NA,"same",NA,NA
"132","eaſy","FM","NN","easy",NA,"easy",0,NA,"easy",NA,NA
"133",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"134","familiar","FM","JJ","familiar","familiar","familiar",0,NA,"familiar",NA,NA
"135",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"136","and","FM","CC","and",NA,"and",0,NA,"and",NA,NA
